"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","578.90","578.90","572.10","573.70","576.35","577.45","575.63","639.05","447.80","12,83,196","73,86,44,790.65","34,059"
"23-Aug-2024","EQ","584.70","584.80","572.00","579.15","572.90","573.70","575.39","639.05","447.80","19,95,012","1,14,79,01,145.20","44,089"
"22-Aug-2024","EQ","570.00","587.90","568.25","568.30","579.50","579.15","580.38","639.05","447.80","63,09,020","3,66,16,40,645.55","1,06,240"
"21-Aug-2024","EQ","566.00","572.80","563.00","566.15","569.00","568.30","569.02","639.05","447.80","22,35,790","1,27,22,12,558.15","39,611"
"20-Aug-2024","EQ","560.60","567.00","560.10","560.60","564.70","566.15","564.16","639.05","447.80","11,94,020","67,36,18,979.25","26,301"
"19-Aug-2024","EQ","553.00","563.55","551.65","553.35","562.00","560.60","558.40","639.05","447.80","24,12,431","1,34,70,97,401.55","44,748"
"16-Aug-2024","EQ","542.85","554.40","539.60","542.85","552.55","553.35","546.73","639.05","447.80","16,35,134","89,39,76,330.95","27,615"
"14-Aug-2024","EQ","552.50","553.90","540.40","552.05","544.00","542.85","544.89","639.05","447.80","10,66,850","58,13,15,175.15","25,901"
"13-Aug-2024","EQ","566.00","566.10","550.80","565.10","552.50","552.05","555.84","639.05","447.80","16,66,599","92,63,57,319.55","32,168"
"12-Aug-2024","EQ","552.50","568.95","546.65","554.60","563.50","565.10","559.40","639.05","447.80","31,91,587","1,78,53,85,131.85","62,486"
"09-Aug-2024","EQ","558.50","562.00","550.65","547.80","555.05","554.60","556.03","639.05","447.80","20,61,454","1,14,62,38,255.25","36,512"
"08-Aug-2024","EQ","546.75","555.80","544.05","546.70","547.80","547.80","549.48","639.05","447.80","27,63,841","1,51,86,78,663.30","71,900"
"07-Aug-2024","EQ","539.00","549.00","535.55","533.55","548.50","546.70","541.90","639.05","447.80","26,23,663","1,42,17,50,942.25","32,440"
"06-Aug-2024","EQ","533.00","549.90","531.20","528.30","533.85","533.55","541.77","639.05","447.80","38,39,963","2,08,03,58,474.10","57,119"
"05-Aug-2024","EQ","520.00","551.50","520.00","537.60","526.85","528.30","539.27","639.05","447.80","81,99,938","4,42,20,08,428.75","1,32,611"
"02-Aug-2024","EQ","555.00","563.95","531.45","560.45","532.10","537.60","546.92","639.05","447.80","64,52,127","3,52,87,82,680.25","96,886"
"01-Aug-2024","EQ","575.00","577.00","557.10","572.05","561.00","560.45","566.76","639.05","447.80","19,00,787","1,07,72,98,675.50","37,440"
"31-Jul-2024","EQ","569.90","573.70","565.10","564.90","572.60","572.05","571.06","639.05","447.80","23,90,519","1,36,51,30,263.50","51,225"
"30-Jul-2024","EQ","553.60","568.80","552.50","553.15","565.00","564.90","563.46","639.05","447.80","20,46,419","1,15,30,76,618.10","35,914"
"29-Jul-2024","EQ","548.05","566.50","545.50","544.15","554.60","553.15","557.41","639.05","447.80","44,04,641","2,45,51,84,292.60","74,176"
